Category,Motivation,Lable_num,Motivation_len,Claen_Mot,Claen_Mot_len
physics,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",5,131,recognition extraordinary services rendered discovery remarkable rays subsequently named,88
medicine,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",3,240,serum therapy especially application diphtheria opened road domain medical science thereby placed hands physician victorious weapon illness deaths,146
peace,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",4,94,humanitarian efforts help wounded soldiers create international understanding,77
peace,"""for his lifelong work for international peace conferences diplomacy and arbitration""",4,85,lifelong international peace conferences diplomacy arbitration,62
literature,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",2,177,special recognition poetic composition gives evidence lofty idealism artistic perfection rare combination qualities heart intellect,131
chemistry,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",0,146,recognition extraordinary services rendered discovery laws chemical dynamics osmotic pressure solutions,103
chemistry,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",0,104,recognition extraordinary services rendered sugar purine syntheses,66
literature,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",2,132,greatest living master art historical writing special reference monumental IA history RomeI,91
peace,"""for his eminently practical administration of the Inter-Parliamentary Union""",4,77,eminently practical administration InterParliamentary Union,59
peace,"""for his untiring and skilful directorship of the Bern Peace Bureau""",4,68,untiring skilful directorship Bern Peace Bureau,47
physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",5,136,recognition extraordinary service rendered researches influence magnetism upon radiation phenomena,98
medicine,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",3,178,malaria shown enters organism thereby laid foundation successful research disease methods combating,99
physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",5,158,recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel,117
peace,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",4,89,longstanding devoted effort favour ideas peace arbitration,58
physics,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",5,108,recognition extraordinary services rendered discovery spontaneous radioactivity,79
chemistry,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",0,213,recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element,136
medicine,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",3,180,recognition contribution treatment diseases especially lupus vulgaris concentrated light radiation whereby opened avenue medical science,136
literature,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",2,171,tribute noble magnificent versatile poetry always distinguished freshness inspiration rare purity spirit,104
chemistry,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",0,137,recognition extraordinary services rendered advancement chemistry electrolytic theory dissociation,98
literature,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",2,157,recognition numerous brilliant compositions individual original manner revived great traditions Spanish drama,109
physics,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",5,133,investigations densities important gases discovery argon connection studies,75
peace,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",4,113,striving public law develop peaceful ties nations make laws war humane,70
chemistry,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",0,146,recognition services discovery inert gaseous elements air determination place periodic system,93
medicine,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",3,149,recognition physiology digestion knowledge vital aspects subject transformed enlarged,85
literature,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",2,236,recognition fresh originality true inspiration poetic production faithfully reflects natural scenery native spirit people addition significant Provenccedilal philologist,169
chemistry,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",0,159,recognition services advancement organic chemistry chemical industry organic dyes hydroaromatic compounds,105
literature,"""because of his outstanding merits as an epic writer""",2,53,outstanding merits epic writer,30
physics,"""for his work on cathode rays""",5,30,cathode rays,12
peace,"""for her audacity to oppose the horrors of war""",4,47,audacity oppose horrors war,27
medicine,"""for his investigations and discoveries in relation to tuberculosis""",3,68,investigations discoveries relation tuberculosis,48
literature,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",2,200,consideration deep learning critical research tribute creative energy freshness style lyrical force characterize poetic masterpieces,132
peace,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",4,123,bringing bloody war recently waged two worlds great powers Japan Russia,71
physics,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",5,129,recognition great merits theoretical experimental investigations conduction electricity gases,93
medicine,"""in recognition of their work on the structure of the nervous system""",3,69,recognition structure nervous system,36
chemistry,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",0,201,recognition great services rendered investigation isolation element fluorine adoption service science electric furnace called,125
medicine,"""in recognition of his work on the role played by protozoa in causing diseases""",3,79,recognition played protozoa causing diseases,44
chemistry,"""for his biochemical researches and his discovery of cell-free fermentation""",0,76,biochemical researches discovery cellfree fermentation,54
literature,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",2,188,consideration power observation originality imagination virility ideas remarkable talent narration characterize creations worldfamous author,140
peace,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",4,93,decisive influence upon conduct outcome Hague Geneva Conferences,64
